Total without coverUrl: 144
  Symbols: A Handbook for Seeing | Mark Fox, Angie Wang | ISBN: 9781580934725
  Tell Them of Battles, Kings, and Elephants | Mathias Énard | ISBN: 9780811228947
  The Abstainer | Ian McGuire | ISBN: 9780593133873
  The Accusation: Forbidden Stories from Inside North Korea | Bandi | ISBN: 9780802126207
  The Art of Letters | Kris Sowersby | ISBN: 9780648596349
  The Association of Small Bombs | Karan Mahajan | ISBN: 9780143109273
  The Beauty of Everyday Things | Soetsu Tanagi | ISBN: 9780241366356
  The Boats of the “Glen Carrig” | William Hope Hodgson | ISBN: 9781519623812
  The Cloven  (The Vorrh Trilogy, #3) | Brian Catling | ISBN: 9781101972748
  The Complete Tales of Edgar Allan Poe | Edgar Allan Poe | ISBN: 9780760716212
  The Confidence-Man | Herman Melville | ISBN: 9780451516985
  The Death of Ivan Ilych | Leo Tolstoy | ISBN: 9780451514851
  The Devourers | Indra Das | ISBN: 9781101967515
  The Diary of a Young Girl | Anne Frank | ISBN: 9780812415087
  The Disintegration of Form in the Arts | Erich von Kahler | ISBN: 9780807604410
  The Employees | Olga Ravn | ISBN: 9780811234825
  The End of All Songs (Dancers at the End of Time, #3) | Michael Moorcock | ISBN: 9780060129996
  The Erstwhile (The Vorrh Trilogy, #2) | Brian Catling | ISBN: 9781101972724
  The Golden Legend: Readings on the Saints | Jacobus de Voragine | ISBN: 9780691154077
  The Hidden Histories of Flowers | Maddie & Alice Bailey | ISBN: 9781784886745
  The Infinite Sadness of Small Appliances | Glenn Dixon | ISBN: 9781668097267
  The Interestings | Meg Wolitzer | ISBN: 9781594632341
  The King in Yellow | Robert W. Chambers | ISBN: 9781537514932
  The Kingdom of Speech | Tom Wolfe | ISBN: 9780316404631
  The North Water | Ian McGuire | ISBN: 9781250118141
  The Obscene Bird of Night | José Donoso | ISBN: 9780811232227
  The Princess and the Goblin | George MacDonald | ISBN: 9781516936717
  The Screwtape Letters | C.S. Lewis | ISBN: 9781557481429
  The Secret of Father Brown | G.K. Chesterton | ISBN: 9780140038071
  The Seventy Wonders of the Ancient World | Edited by Chris Scarre | ISBN: 9780500297070
  The Staircase in the Woods | Chuck Wendig | ISBN: 9780593156582
  The System of Objects | Jean Baudrillard | ISBN: 9781788738545
  The Taiga Syndrome | Cristina Rivera Garza | ISBN: 9780997366679
  The Tusks of Extinction | Ray Nayler | ISBN: 9781250855527
  The Wayfinder | Adam Johnson | ISBN: 9780374619572
  The World Atlas of Coffee | James Hofffmann | ISBN: 9780228100942
  The Worm Ouroboros | E.R. Eddison | ISBN: 9781539542933
  The Wounds of the Dead | Vikram Paralkar | ISBN: 9789352774371
  They Flew: A History of the Impossible | Carlos Eire | ISBN: 9780300259803
  This World is Full of Monsters | Jeff VanderMeer | ISBN: 9781250165718
  Till We Have Faces: A Myth Retold | C.S. Lewis | ISBN: 9780756972226
  Tokyo Express | Seichō Matsumoto | ISBN: 9780593979044
  Tolkien: A Look Behind the Lord of the Rings | Lin Carter | ISBN: 9780345245205
  Tremendous Trifles | G. K. Chesterton | ISBN: 9781507864326
  Under the Sea | Mark Leidner | ISBN: 9780991360888
  Universal Principles of Branding: 100 Key Concepts for Defining, Building, and Delivering Brands | Mark Kingsley | ISBN: 9780760378205
  Welcome as a Way of Life | Benjamin Wall | ISBN: 9781498225687
  When Trees Testify | Beronda L. Montgomery | ISBN: 9781250335166
  Where the Axe is Buried | Ray Nayler | ISBN: 9780374615369
  Witches | Brenda Lozano | ISBN: 9781646221998
  Wolf in White Van | John Darnielle | ISBN: 9781250081223
  Works of Charles Sanders Peirce | Charles Sanders Peirce | ISBN: NONE
  Writings on Media: History of the Present | Stuart Hall | ISBN: 9781478014713
